S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
1.0,3074472.0,JAGANNATH ROUT,INR,"7,167,706",General Manager,Internal,,Rajendra Nath Nayak,05-Dec-2025 03:10 PM,finsummary_550254.pdf (1068.03 KB),WATCO Bhubaneswar||Director (Operation) Watco||GM WATCO DIVISION-II BBSR,2025_GWCDI_117222_1,GMWATCO-II/ 21(03) /2025-26 Dt.21.08.2025,"Improvement of W/S with laying of 100mm dia D.I. pipe line at Budheswari colony, Laxmisagar Malahanta pond ward No.43, Chintamaniswar fisher lane 10 ward No.43 under WATCO Section, Laxmisagar, Bhubaneswar",Technical,Fifteen no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Rajendra Nath Nayak,11-Sep-2025 02:10 PM,,Finance,Twelve no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Rajendra Nath Nayak,28-Oct-2025 11:43 AM,,BOQ Comparative Chart,General Manager,Internal,,Rajendra Nath Nayak,28-Oct-2025 10:49 AM,28-Oct-2025 11:30 AM,techsummary_550254.pdf (153.33 KB),1,3062227,Biswajeet Sahoo,03-Sep-2025 11:56 AM,Rejected-AOC,Not a lowest bidder,05-Dec-2025 03:14 PM,05-Dec-2025,"INR 7,167,706",60.0,Rajendra Nath Nayak,05-Dec-2025 03:14 PM,AOC.pdf (532.00 KB),AOC,General Manager,"General Manager, WATCO Division-II, Unit-V, Bhubaneswar-751001, Odisha, Phone (0674) 2390322","84,320",Yes,fixed,,Nil,Nil,WATCO Bhubaneswar||Director (Operation) Watco||GM WATCO DIVISION-II BBSR,GMWATCO-II/ 21(03) /2025-26 Dt.21.08.2025,2025_GWCDI_117222_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",Nil,Nil,No,"Improvement of W/S with laying of 100mm dia D.I. pipe line at Budheswari colony, Laxmisagar Malahanta pond ward No.43, Chintamaniswar fisher lane 10 ward No.43 under WATCO Section, Laxmisagar, Bhubaneswar","Improvement of W/S with laying of 100mm dia D.I. pipe line at Budheswari colony, Laxmisagar Malahanta pond ward No.43, Chintamaniswar fisher lane 10 ward No.43 under WATCO Section, Laxmisagar, Bhubaneswar",Please refer Tender documents. ,NA ,"84,32,000",Civil Works - Water Works,NA ,Tender,120.0,60.0,"Chintamaniswar, Bhubaneswar",751006.0,NA ,NA ,NA ,Bhubaneswar,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN",26-Aug-2025 11:00 AM,11-Sep-2025 12:30 PM,26-Aug-2025 11:00 AM,10-Sep-2025 05:00 PM,26-Aug-2025 11:00 AM ,02-Sep-2025 05:00 PM ,26-Aug-2025 11:00 AM,10-Sep-2025 05:00 PM,28-Oct-2025 11:30 AM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3074455,CHANDRAKANT PRUSTY,10-Sep-2025 04:51 PM,Rejected-AOC,Not a lowest bidder,05-Dec-2025 03:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3070561,CHINTAMANI KUNDA,10-Sep-2025 02:20 AM,Rejected-AOC,Not a lowest bidder,05-Dec-2025 03:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3074189,DEMONSTRATIVE SOLAR INDIA PVT. LTD.,10-Sep-2025 03:15 PM,Rejected-AOC,Not a lowest bidder,05-Dec-2025 03:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3074472,JAGANNATH ROUT,10-Sep-2025 04:17 PM,Accepted-AOC,Lowest bidder in Lottery,05-Dec-2025 03:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3056136,MANMATH KUMAR BEHURA,02-Sep-2025 06:33 PM,Rejected-Technical,Technically disqualified,28-Oct-2025 10:49 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3073945,M/S GAURAV INFRA,10-Sep-2025 01:46 PM,Rejected-AOC,Not a lowest bidder,05-Dec-2025 03:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3072228,M/S HARA ENGINEERING WORKS,10-Sep-2025 11:40 AM,Rejected-AOC,Not a lowest bidder,05-Dec-2025 03:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3060877,PUSPALATA SILA,05-Sep-2025 02:49 PM,Rejected-Technical,Technically disqualified,28-Oct-2025 10:49 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3073531,RABINARAYAN SETHI,10-Sep-2025 12:09 PM,Rejected-AOC,Not a lowest bidder,05-Dec-2025 03:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
