S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2900938.0,RAJENDRA CHAKRA,INR,"3,900,458.63",Finance,19 no of bidder applyed,Ajaya Kumar Sahoo,28-Nov-2025 06:33 PM,,BOQ Comparative Chart,BDO JODA,Internal,,Ajaya Kumar Sahoo,28-Nov-2025 06:41 PM,finsummary_536929.pdf (304.93 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Keonjhar||JODA Block,2025_PRBJO_112585_5,Online Bid ID no. 01-Joda (KJR/2025-2026),Construction of CC road from ANM center to Gupteswar Mandir at Balagoda.,BDO JODA,Internal,,Ajaya Kumar Sahoo,28-Nov-2025 06:38 PM,techsummary_536929.pdf (304.93 KB),28-Nov-2025,"INR 3,900,458.63",240.0,Ajaya Kumar Sahoo,28-Nov-2025 06:47 PM,Joda_12.pdf (305.00 KB),1,2905907,AJAYA KUMAR MAHAKUD,05-May-2025 12:46 PM,Rejected-AOC,Dis Qualify,28-Nov-2025 06:47 PM,AOC,"45,883",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper cost, EMD, GSTIN, RC, affidavit, and other document As Per DTCN",Construction of CC road from ANM center to Gupteswar Mandir at Balagoda.,Construction of CC road from ANM center to Gupteswar Mandir at Balagoda.,As per DTCN ,NA ,"45,88,235",Civil Works - Roads,NA ,Tender,90.0,240.0,"The panchayat samiti, joda,keonjhar.",758038.0,NA ,NA ,NA ,"Block office joda, keonjhar",No ,No,21-Apr-2025 10:00 AM,06-May-2025 11:00 AM,21-Apr-2025 10:00 AM,05-May-2025 05:00 PM,NA ,NA ,21-Apr-2025 10:00 AM,05-May-2025 05:00 PM,Block Developtment Officer,"The Panchayat Samiti, Joda,Keonjhar. pin-758038. E-Mail ori-joda@nic.in",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Keonjhar||JODA Block,Online Bid ID no. 01-Joda (KJR/2025-2026),2025_PRBJO_112585_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2906306,AMIYA PRAKASH BEJ,05-May-2025 03:23 PM,Rejected-AOC,Dis Qualify,28-Nov-2025 06:47 PM,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2902638,ASIT KUMAR MOHANTY,01-May-2025 12:32 PM,Rejected-AOC,Dis Qualify,28-Nov-2025 06:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2906545,ASWINI KUMAR PATTNAIK,05-May-2025 04:57 PM,Rejected-AOC,Dis Qualify,28-Nov-2025 06:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2906445,BANANI PADHIHARI,05-May-2025 04:27 PM,Rejected-AOC,Dis Qualify,28-Nov-2025 06:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2906243,BIJAYA LAXMI NAYAK,05-May-2025 03:03 PM,Rejected-AOC,Dis Qualify,28-Nov-2025 06:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2901958,DIBYA RANJAN SWAIN,30-Apr-2025 04:09 PM,Rejected-AOC,Dis Qualify,28-Nov-2025 06:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2899687,HRUDANANDA BARIK,29-Apr-2025 11:46 AM,Rejected-AOC,Dis Qualify,28-Nov-2025 06:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2906005,MANOJ KUMAR SWAIN,05-May-2025 01:06 PM,Rejected-AOC,Dis Qualify,28-Nov-2025 06:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2906314,NABIN CHANDRA PARIDA,05-May-2025 03:53 PM,Rejected-AOC,Dis Qualify,28-Nov-2025 06:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
