S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,07Online)/RWD/BPD/2025-26,2025_CERWI_120269_53,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to Denganalia Chhaka Tikpada Balasore border,S/R to Denganalia Chhaka Tikpada Balasore border,Please refer Tender documents. ,NA ,"10,08,000",Civil Works - Roads,NA ,Tender,90.0,30.0,"Baripada, Mayurbhanj",757002.0,NA ,NA ,NA ,"R.W.Division, Baripada",No ,No,30-Oct-2025 06:00 PM,06-Nov-2025 05:30 PM,30-Oct-2025 06:00 PM,06-Nov-2025 05:00 PM,30-Oct-2025 06:00 PM ,06-Nov-2025 03:00 PM ,30-Oct-2025 06:00 PM,06-Nov-2025 05:00 PM,"10,080",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,RC PAN GSTIN Affidavit and other documents as per DTCN,"S.E.R.W.Division, Baripada","S.E.R.W.Division, Baripada",AOC,R.Pradhan,Internal,,Rajesh Pradhan,09-Jan-2026 01:45 PM,finsummary_559597.pdf (194.82 KB),R.Pradhan,Internal,,Rajesh Pradhan,09-Jan-2026 01:43 PM,techsummary_559597.pdf (194.81 KB),09-Jan-2026,"INR 857,242.41",30.0,Rajesh Pradhan,09-Jan-2026 01:50 PM,123.pdf (670.00 KB),1,3183163,ANIRUDHA SAHU,05-Nov-2025 11:07 AM,Rejected-AOC,unsuccessful tenderer,09-Jan-2026 01:50 PM,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_120269_53,07Online)/RWD/BPD/2025-26,S/R to Denganalia Chhaka Tikpada Balasore border,1.0,3184887.0,MANORANJAN UPADHAYAYA,INR,"857,242.41",Finance,.,Rajesh Pradhan,09-Jan-2026 01:39 PM,finance_559597.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,AOC,,,,,,,,,,,,,,,,,,,2,3184734,CHANDAN KUMAR RAM,05-Nov-2025 07:07 PM,Rejected-AOC,unsuccessful tenderer,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3184887,MANORANJAN UPADHAYAYA,06-Nov-2025 10:51 AM,Accepted-AOC,Lottery winner,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3186333,M/S SANGRAM KUMAR KARAN,05-Nov-2025 09:40 PM,Rejected-AOC,unsuccessful tenderer,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3184268,PANKAJ KUMAR PATRA,05-Nov-2025 10:13 PM,Rejected-AOC,unsuccessful tenderer,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3171772,PANKAJ NARAYAN DEO BABU,01-Nov-2025 09:40 PM,Rejected-AOC,unsuccessful tenderer,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3184378,PRADIP KUMAR SINGHA,05-Nov-2025 02:06 PM,Rejected-AOC,unsuccessful tenderer,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3174139,RAJIB KUMAR GIRI,03-Nov-2025 02:38 PM,Rejected-AOC,unsuccessful tenderer,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3181745,SANTOSH KUMAR GIRI,04-Nov-2025 05:47 PM,Rejected-AOC,unsuccessful tenderer,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3189689,SEKHAR MOHANTY,06-Nov-2025 04:25 PM,Rejected-AOC,unsuccessful tenderer,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,AOC
