Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
PHEO,2023_PHEO_89255_1,EICPH-04/2023-24 Dt.08.05.2023,Improvement of Water Supply to Khariar N.A.C. under AMRUT 2.0 SWAP-I,Technical,Ten (10) No. Technical Bids opened and to be evaluated.,Ratindra Nayaran Mallik,17-Jun-2023 12:39 PM,technical_438932.pdf,"Er. RN Mallik, EICPH, Odisha",Internal,"Er. GK Pal, ACE(Roads), Works Deptt., Er K Kohil, ACE, OWSSB, Er LN Khandual, SE(Designs), Er B. Joshi, AE, Rep. of ACE, PH Circle, BHPT and EE, PH Division, BHPT, Sri D Mohapatra, AOPH",Ratindra Nayaran Mallik,13-Sep-2023 02:33 PM,finsummary_438932.pdf (909.27 KB),Finance,Ten (10) Nos. Financial Bid opened and to be evaluated.,Ratindra Nayaran Mallik,17-Jul-2023 12:34 PM,finance_438932.pdf,BOQ Comparative Chart,18-Oct-2023,"INR 115,041,645",450.0,Ratindra Nayaran Mallik,18-Oct-2023 05:15 PM,AOCKhariar.pdf (1783.00 KB),LOA issued on 25.08.2023. Work Order Issued and Agreement signed on 07.10.2023. However for website compulsion Contract Date written as 18.10.2023.,1.0,2160705.0,"prasanta kumar sahu, prop-of nilamadhaba construction",INR,"115,041,645","Er RN Mallik, EICPH, Odisha",Internal,"Er KK Sahu, ACE, OWSSB, Odisha, Er Deepanjali Malla, EE, Works Deptt., Er LN Khandual, SE (Designs), Er S Kisan, EE, PH Circle, Bhawanipanta, Sri D. Mohapatra, AOPH",Ratindra Nayaran Mallik,15-Jul-2023 07:10 PM,17-Jul-2023 12:00 PM,techsummary_438932.pdf (1332.76 KB),1,2149094,BALDEV PANDA,16-Jun-2023 01:28 PM,Rejected-Finance,Rejected as L10 Bidder,13-Sep-2023 02:33 PM,AOC,"10,000",0.0,Nil,Nil,Yes,1.0,Ammendment to DTCN,Technical Bid,,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GSTIN, Affidavits as per DTCN",PHEO,EICPH-04/2023-24 Dt.08.05.2023,2023_PHEO_89255_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"13,52,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,23-May-2023 06:30 PM,17-Jun-2023 11:00 AM,23-May-2023 06:30 PM,16-Jun-2023 05:00 PM,23-May-2023 06:30 PM ,05-Jun-2023 05:00 PM ,23-May-2023 06:30 PM,16-Jun-2023 05:00 PM,17-Jul-2023 12:00 PM,Improvement of Water Supply to Khariar N.A.C. under AMRUT 2.0 SWAP-I,"Construction of RCC GSR, ESR, Pump House, Compound Wall, Laying of DI Clear Water Rising Main and Distribution Pipeline, House Connection, External Power Supply and Procurement, Installation of DG Set, etc.",Please refer Tender documents. ,NA ,"13,51,94,000",Civil Works - Water Works,NA ,Tender,120.0,450.0,Khariar,766107.0,NA ,NA ,NA ,Bhubaneswar,No ,No,"Engineer-in-Chief, PH, Odisha, Bhubaneswar","Office of the Engineer-in-Chief (PH), Odisha, 1st Floor, Unnati Bhawan, Satyanagar, Bhubaneswar 751007, Phone (0674) 2575309.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2153764,Haresh Kumar Agrawal,16-Jun-2023 12:22 PM,Rejected-Finance,Rejected as L3 Bidder,13-Sep-2023 02:33 PM,AOC,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2159187,HITESH AGRAWAL,14-Jun-2023 06:35 AM,Rejected-Finance,Rejected as L5 Bidder,13-Sep-2023 02:33 PM,AOC,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2160539,MUSKAN GUPTA,16-Jun-2023 03:32 PM,Rejected-Finance,Rejected as L6 Bidder,13-Sep-2023 02:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2158700,NETRANANDA SWAIN,15-Jun-2023 09:27 PM,Rejected-Finance,Rejected as L7 Bidder,13-Sep-2023 02:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2161592,P. G. Construction,16-Jun-2023 04:37 PM,Rejected-Finance,Rejected as L9 Bidder,13-Sep-2023 02:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2160705,"prasanta kumar sahu, prop-of nilamadhaba construction",15-Jun-2023 03:46 PM,Accepted-AOC,Accepted as stood L1,18-Oct-2023 05:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2160387,RUPESH AGRAWAL PROP. R S INFRA,16-Jun-2023 10:17 AM,Rejected-Finance,Rejected as L4 Bidder,13-Sep-2023 02:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2149315,Sanjaya Kumar Agrawal,15-Jun-2023 06:30 PM,Rejected-AOC,Rejected as stood L2,18-Oct-2023 05:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2159578,SNKANUNGO INFRASTRUCTURE,15-Jun-2023 04:15 PM,Rejected-Finance,Rejected as L8 Bidder,13-Sep-2023 02:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
