Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
"Er RN Mallik, EIC, PH, Odisha",Internal,"Er K Kohli, ACE, OWSSB, BBSR, Er Indrajit Sahu, ACE, PH Circle, Bhawanipatna, Er LN Khandual, SE (Designs), Er Indrajit Sahu, SE, PH Division, Bolangir, Sri D Mohapatra, AO(PH)",Ratindra Nayaran Mallik,08-Aug-2023 05:36 PM,09-Aug-2023 11:00 AM,techsummary_439312.pdf (1139.71 KB),1,2165126,ASHISH MOHANTY,21-Jun-2023 04:36 PM,Rejected-Finance,Rejected as L4 Bidder,13-Sep-2023 02:59 PM,PHEO,2023_PHEO_89347_1,EICPH-05/2023-24 Dt.08.05.2023,"Improvement of Water Supply to Boudhgarh N.A.C. including OM for 5 years under AMRUT 2.0, SWAP-I","Er. RN Mallik. EICPH, Odisha",Internal,"Er. A Jena, ACE (Planning), Er. B Mohanty, ACE, PH Circle, BHPT, Er. K Kholi, ACE, OWSSB, Er. LN Khandual, SE(D), Er. I Sahu, SE, PH Division, Bolangir, Sri D. Mohapatra, AOPH, Sri BM Kumar, DAO(PH)",Ratindra Nayaran Mallik,13-Sep-2023 02:59 PM,finsummary_439312.pdf (1038.10 KB),Technical,Twelve (12) No. Technical Bids opened and to be evaluated.,Ratindra Nayaran Mallik,22-Jun-2023 12:25 PM,technical_439312.pdf,1.0,2157441.0,PM CONTRACTORS PRIVATE LIMITED,INR,"173,151,350",Finance,Twelve (12) Nos. Financial Bid opened and to be evaluated.,Ratindra Nayaran Mallik,09-Aug-2023 12:29 PM,finance_439312.pdf,BOQ Comparative Chart,10-Oct-2023,"INR 173,151,350",540.0,Ratindra Nayaran Mallik,10-Oct-2023 11:53 AM,LOA.pdf (1558.00 KB),"LOA issued on 16.09.2023. WO issued and Agreement signed on 09.10.2023. However, for website compulsion Contract Date written as 10.10.2023.",AOC,"Engineer-in-Chief, P.H., Odisha, Bhubaneswar","Office of the Engineer-in-Chief (PH), Odisha, 1st Floor, Unnati Bhawan, Satyanagar, Bhubaneswar 751007, Phone (0674) 2575309.",26-May-2023 02:00 PM,22-Jun-2023 11:00 AM,26-May-2023 02:00 PM,21-Jun-2023 05:00 PM,26-May-2023 02:00 PM ,07-Jun-2023 05:00 PM ,26-May-2023 02:00 PM,21-Jun-2023 05:00 PM,09-Aug-2023 11:00 AM,"Improvement of Water Supply to Boudhgarh N.A.C. including OM for 5 years under AMRUT 2.0, SWAP-I","Construction of Intake Well, Pump House, Foot Overbridge, 1.0 MLD WTP, RCC ESR, Laying of DI K-9, K-7 Raw Water and Clear Water Rising Main, Distribution Network, Pumping Arrangement, External Electrification, etc.,",Please refer Tender documents. ,NA ,"19,23,70,000",Civil Works - Water Works,NA ,Tender,120.0,540.0,Boudh,762014.0,NA ,NA ,NA ,Bhubaneswar,No ,No,PHEO,EICPH-05/2023-24 Dt.08.05.2023,2023_PHEO_89347_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,Yes,1.0,ICICI BANK,"19,24,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GSTIN, Affidavits as per DTCN",AOC
,,,,,,,2,2163879,BALDEV PANDA,21-Jun-2023 12:30 PM,Rejected-Finance,Rejected as L7 Bidder,13-Sep-2023 02:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",AOC
,,,,,,,3,2164580,JRC Infra,21-Jun-2023 06:27 AM,Rejected-AOC,Looser of transparent lottery and Rejected,10-Oct-2023 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,AOC
,,,,,,,4,2158941,M A CONSTRUCTION,14-Jun-2023 03:50 PM,Rejected-Finance,Rejected as L7 Bidder,13-Sep-2023 02:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,5,2164880,M/s NATH ENGINEERING WORKS,21-Jun-2023 04:49 PM,Rejected-Finance,Rejected as L5 Bidder,13-Sep-2023 02:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,6,2163721,MS RUTUPARNA CONSTRUCTION PROP BHUBAN CHANDRA SAHOO,21-Jun-2023 02:37 PM,Rejected-AOC,Stood as L2 and Rejected,10-Oct-2023 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,7,2164492,P. G. Construction,21-Jun-2023 09:27 AM,Rejected-Finance,Rejected as L3 Bidder,13-Sep-2023 02:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,8,2157441,PM CONTRACTORS PRIVATE LIMITED,20-Jun-2023 02:33 PM,Accepted-AOC,Winner of transparent lottery and Considered as L1.,10-Oct-2023 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,9,2162835,"prasanta kumar sahu, prop-of nilamadhaba construction",19-Jun-2023 11:55 AM,Rejected-Finance,Rejected as L6 Bidder,13-Sep-2023 02:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,10,2163467,"SAI VAISHNAVI ENTERPRISES, PROP. RAJ KUMAR PATRA",19-Jun-2023 06:45 PM,Rejected-Finance,Rejected as L1 Bidder,13-Sep-2023 02:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
