Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
PHEO,2023_PHEO_89355_1,EICPH-06/2023-24 Dt.08.05.2023,"Improvement of Water Supply to Kotpad NAC Including OM for 5 Years under AMRUT 2.0, SWAP-I",Technical,Ten (10) No. Technical Bids opened and to be evaluated.,Ratindra Nayaran Mallik,22-Jun-2023 01:06 PM,technical_439337.pdf,"Er RN Mallik, EICPH, Odisha",Internal,"Er KK Kohli, ACE, OWSSB, Er B Mohanty, ACE, PH Circle, BHPT, Er A Jena, ACE (P), Er C Mahali, EE, PH Division, Koraput, Sri D Mohapatra, AOPH",Ratindra Nayaran Mallik,10-Oct-2023 12:24 PM,finsummary_439337.pdf (1150.16 KB),1.0,2164602.0,KESHAB PRADHAN,INR,"137,812,628",Finance,Eight (8) Nos. Financial Bid opened and to be evaluated.,Ratindra Nayaran Mallik,09-Aug-2023 12:51 PM,finance_439337.pdf,BOQ Comparative Chart,18-Oct-2023,"INR 137,812,628",540.0,Ratindra Nayaran Mallik,18-Oct-2023 12:15 PM,AOCKotpad.pdf (1970.00 KB),"LOA issued on 16.09.2023. WO issued and Agreement signed on 16.10.2023. However, for website compulsion Contract Date written as 18.10.2023.","Er RN Mallik, EIC (PH), Odisha",Internal,"Er K Kohli, ACE, OWSSB, BBSR, Er Indrajit Sahu, ACE, PH Circle, Bhawanipatna, Er LN Khandual, SE (Designs), Er Chiranjib Mahali, EE, PH Division, Koraput, Sri D Mohapatra, AO(PH)",Ratindra Nayaran Mallik,08-Aug-2023 05:47 PM,09-Aug-2023 11:30 AM,techsummary_439337.pdf (1095.13 KB),1,2163836,BALDEV PANDA,21-Jun-2023 12:32 PM,Rejected-Finance,Stood as L7,10-Oct-2023 12:24 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GSTIN, Affidavits as per DTCN","Engineer-in-Chief, PH, Odisha, Bhubaneswar","Office of the Engineer-in-Chief (PH), Odisha, 1st Floor, Unnati Bhawan, Satyanagar, Bhubaneswar 751007, Phone (0674) 2575309.","14,59,000",Yes,fixed,,Nil,Nil,"Improvement of Water Supply to Kotpad NAC Including OM for 5 Years under AMRUT 2.0, SWAP-I","Construction of RCC Intake Well, Pump House, Pumping Arrangement, EOT Crane, Foot Overbridge, Leading Channel with Screen, 4 MLD WTP, DI K9, K7 Pipe Raw water and Clear water risingmain, Distribution Network, External/ Internal Electrification, etc.,",Please refer Tender documents. ,NA ,"14,58,83,000",Civil Works - Water Works,NA ,Tender,120.0,540.0,Kotpad,764058.0,NA ,NA ,NA ,Bhubaneswar,No ,No,26-May-2023 04:30 PM,22-Jun-2023 11:00 AM,26-May-2023 04:30 PM,21-Jun-2023 05:00 PM,26-May-2023 04:30 PM ,07-Jun-2023 05:00 PM ,26-May-2023 04:30 PM,21-Jun-2023 05:00 PM,09-Aug-2023 11:30 AM,PHEO,EICPH-06/2023-24 Dt.08.05.2023,2023_PHEO_89355_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,Yes,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2164514,JRC Infra,21-Jun-2023 06:32 AM,Rejected-AOC,Rejected as stood L2,18-Oct-2023 12:18 PM,AOC,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2164602,KESHAB PRADHAN,21-Jun-2023 01:50 PM,Accepted-AOC,Accepted as stood L1,18-Oct-2023 12:18 PM,AOC,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2158944,M A CONSTRUCTION,14-Jun-2023 03:11 PM,Rejected-Finance,Stood as L6,10-Oct-2023 12:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2161712,M/S SABITA ENTERPRISES,21-Jun-2023 11:38 AM,Rejected-Technical,Not Qualified,08-Aug-2023 05:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2158701,NETRANANDA SWAIN,20-Jun-2023 11:58 AM,Rejected-Finance,Stood as L5,10-Oct-2023 12:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2162814,RAMAKANTA PANDA,21-Jun-2023 04:53 PM,Rejected-AOC,Rejected as stood L2,18-Oct-2023 12:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2163463,"SAI VAISHNAVI ENTERPRISES, PROP. RAJ KUMAR PATRA",19-Jun-2023 06:40 PM,Rejected-Finance,Stood as L4,10-Oct-2023 12:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2165080,SISIRA KANTA JENA,21-Jun-2023 04:45 PM,Rejected-Finance,Stood as L3,10-Oct-2023 12:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2164887,SUVENDU DAS,21-Jun-2023 02:42 PM,Rejected-Technical,Not Qualified,08-Aug-2023 05:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
