Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
PHEO||SEPH-CIRCLE-BBSR||EE P.H. Division Bhubaneswar,2025_PHEO_117938_1,SEPHBBSR-23(01)/2025-26 DTD.10.09.2025,Construction of Compound wall at Mangarajpur for Improvement of Water Supply to Ranapur NAC,1.0,3107360.0,SAMEER PATTANAIK,INR,"2,277,420",Superintending Engineer,Internal,,Sukant Kumar Sethi,29-May-2026 03:49 PM,techsummary_552226.pdf (539.10 KB),29-May-2026,"INR 2,277,420",60.0,Sukant Kumar Sethi,29-May-2026 03:58 PM,AOC.pdf (1717.00 KB),Finance,Ten no bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Sukant Kumar Sethi,04-Oct-2025 01:15 PM,,BOQ Comparative Chart,Superintending Engineer,Internal,,Sukant Kumar Sethi,29-May-2026 03:55 PM,finsummary_552226.pdf (539.10 KB),1,3100562,BALARAM NAYAK,03-Oct-2025 04:07 PM,Rejected-AOC,Not a lowest bidder,29-May-2026 03:58 PM,AOC,1.0,ICICI BANK,Construction of Compound wall at Mangarajpur for Improvement of Water Supply to Ranapur NAC,Construction of Compound wall at Mangarajpur for Improvement of Water Supply to Ranapur NAC,Please refer Tender documents. ,NA ,"26,79,000",Civil Works - Water Works,NA ,Tender,120.0,60.0,Ranapur NAC,752026.0,NA ,NA ,NA ,Bhubaneswar,No ,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Copy of PAN, GST, Affidavits as per DTCN",16-Sep-2025 03:00 PM,04-Oct-2025 12:30 PM,16-Sep-2025 03:00 PM,03-Oct-2025 05:00 PM,16-Sep-2025 03:00 PM ,19-Sep-2025 05:00 PM ,16-Sep-2025 03:00 PM,03-Oct-2025 05:00 PM,PHEO||SEPH-CIRCLE-BBSR||EE P.H. Division Bhubaneswar,SEPHBBSR-23(01)/2025-26 DTD.10.09.2025,2025_PHEO_117938_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"26,790",Yes,percentage,1.0%,Nil,Nil,Superintending Engineer,"Superintending Engineer, P.H. Division, Saheed Nagar , Bhubaneswar-751007, Odisha, Phone (0674) 2540578",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3107791,EASTGROW TRADERS,03-Oct-2025 04:47 PM,Rejected-AOC,Not a lowest bidder,29-May-2026 03:58 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3101464,ISAHAQUE KHAN,27-Sep-2025 02:17 PM,Rejected-AOC,Not a lowest bidder,29-May-2026 03:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3107604,JINIA BEHERA,03-Oct-2025 04:01 PM,Rejected-AOC,Not a lowest bidder,29-May-2026 03:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3107138,PRADIP NAYAK,03-Oct-2025 01:38 PM,Rejected-AOC,Not a lowest bidder,29-May-2026 03:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3107357,RAKESH KUMAR SAHOO,03-Oct-2025 02:52 PM,Rejected-AOC,Not a lowest bidder,29-May-2026 03:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3100566,RANJITA JENA,03-Oct-2025 04:42 PM,Rejected-AOC,Not a lowest bidder,29-May-2026 03:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3107360,SAMEER PATTANAIK,03-Oct-2025 03:31 PM,Accepted-AOC,Lowest bidder in Lottery,29-May-2026 03:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3107535,SMRUTI DHAR BEHERA,03-Oct-2025 03:45 PM,Rejected-AOC,Not a lowest bidder,29-May-2026 03:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3106924,TRUPTIMAYEE PARIDA,03-Oct-2025 01:01 PM,Rejected-AOC,Not a lowest bidder,29-May-2026 03:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
