Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Engineer-in-Chief (PH), Odisha, Bhubaneswar","Office of the Engineer-in-Chief (PH), Odisha, 1st Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Phone (0674) 2575309.",1.0,Extension of Critical Dates and Acceptance of Bank Guarantee,Date,,"46,08,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,13-Mar-2025 11:00 AM,15-Apr-2025 11:00 AM,13-Mar-2025 11:00 AM,11-Apr-2025 05:00 PM,13-Mar-2025 11:00 AM ,20-Mar-2025 05:00 PM ,13-Mar-2025 11:00 AM,11-Apr-2025 05:00 PM,18-Jul-2025 04:15 PM,"10,000",0.0,Nil,Nil,Yes,PHEO,EICPH-10/2024-25 Dtd.28.02.2025,2025_PHEO_111581_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Augmentation of Water Supply to Bhawanipatna Municipality including O and M for 5 Years under AMRUT 2.0 SWAP-III,"Construction of RCC Intake Well, Pump House and Pumping Arrangements, 20 MLD WTP with all ancillary works, Laying of RWRM and CWRM, Construction of RCC ESR, Boundary Wall, Approach Road and Internal and External Electrification, etc.",Please refer Tender documents. ,NA ,"46,08,21,000",Civil Works - Water Works,NA ,Tender,120.0,730.0,Bhawanipatna,766001.0,Bhubaneswar ,"Office of the Engineer-in-Chief (PH), Odisha, 1st Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Phone (0674) 2575309. ",21-Mar-2025 11:30 AM ,Bhubaneswar,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GSTIN, Affidavits as per DTCN",AOC,Finance,Eight (08) Nos. Financial Bid opened and to be evaluated.,Smrutirekha Mohanty,18-Jul-2025 04:34 PM,finance_532948.pdf,BOQ Comparative Chart,Technical,Technical Bid Opened,Smrutirekha Mohanty,18-Jul-2025 03:15 PM,technical_532948.pdf,1,2878100,bansal infrastructure,08-Apr-2025 03:42 PM,Rejected-Finance,Rejected as Stood L5,14-Aug-2025 12:40 PM,14-Oct-2025,"INR 391,744,348",730.0,Biranchi Narayan Pradhan,14-Oct-2025 12:21 PM,AOCBHPT.pdf (1871.00 KB),"LoA issued on 18.09.2025. Work Order issued and Agreement signed on 26.09.2025. However, for website compulsion Contract Date written as 14.10.2025.","Er. Bilash Kumar Behera, EICPH, Odisha, Bhubaneswar",Internal,"Er BN Pradhan, CEPH, Er LK Tripathy, SE, OWSSB, Er I Sahu, ACE, PH Circle, Bhawanipatna, Er S Mohanty, ACE (P), Er SK Das, SE, PH Division, BHPT, Sri AK Mohapatra, Sr. DAO, Sri DK Mohapatra, AOPH",Biranchi Narayan Pradhan,14-Aug-2025 12:40 PM,finsummary_532948.pdf (935.81 KB),1.0,Evaluation of Technical Bid,Evaluation of Technical Bid,18-Jul-2025 02:35 PM,TEMoMBhawanipatna.pdf ,1478.27,Technical Opening,"Er BK Behera, EICPH, Odisha",Internal,"Er BN Pradhan, CEPH, Er LK Tripathy, SE, OWSSB, Er I Sahu, ACE, PH Circle, BHPT, ER SK Das, SE, PH Division, BHPT, Sri AK Mohapatra, Sr. DAO, Sri, DK Mohapatra, AOPH",Biranchi Narayan Pradhan,18-Jul-2025 03:24 PM,18-Jul-2025 04:15 PM,techsummary_532948.pdf (1493.88 KB),PHEO,2025_PHEO_111581_1,EICPH-10/2024-25 Dtd.28.02.2025,Augmentation of Water Supply to Bhawanipatna Municipality including O and M for 5 Years under AMRUT 2.0 SWAP-III,1.0,2862080.0,Goel projects pvt ltd,INR,"391,744,348",AOC
,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",AOC,,,,,,,,,,,,2,2878376,BR INFRACON,09-Apr-2025 08:58 PM,Rejected-Finance,Rejected as Stood L6,14-Aug-2025 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,AOC,,,,,,,,,,,,3,2862080,Goel projects pvt ltd,11-Apr-2025 02:39 PM,Accepted-AOC,Accepted as stood L1,14-Oct-2025 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,2875181,Jagannath Corporation Projects Pvt. Ltd.,11-Apr-2025 01:30 PM,Rejected-AOC,Rejected as stood L2,14-Oct-2025 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,2872477,M/S NCP CONSTRUCTION,11-Apr-2025 01:07 PM,Rejected-AOC,Rejected as stood L2,14-Oct-2025 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,2882360,N.P.Patel & Co,11-Apr-2025 04:41 PM,Rejected-Technical,Non-Responsive,18-Jul-2025 03:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,2882098,RAPS INFRATECH PRIVATE LIMITED,11-Apr-2025 01:13 PM,Rejected-Finance,Rejected as Stood L4,14-Aug-2025 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,2879515,RRBC Infra Project Private Limited,11-Apr-2025 04:52 PM,Rejected-AOC,Rejected as stood L2,14-Oct-2025 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,2868950,SHIVAJYOTI CONPRO PVT. LTD.,11-Apr-2025 11:06 AM,Rejected-Finance,Rejected as Stood L3,14-Aug-2025 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,2879699,Swach Environment Private Limited,11-Apr-2025 04:14 PM,Rejected-Technical,Non-Responsive,18-Jul-2025 03:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
